config,wl0,wl1,wl2,wl3,wl4,wl5,wl6,wl7,ipc0,ipc1,ipc2,ipc3,ipc4,ipc5,ipc6,ipc7,nrh
Baseline,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.7042700098943833,2.703978103401637,2.70412346378746,2.7042741052233055,2.703990386773377,2.704309501083022,2.704264744489709,2.7040193408768984,0
Baseline,462.libquantum,462.libquantum,462.libquantum,462.libquantum,462.libquantum,462.libquantum,462.libquantum,462.libquantum,0.294526064620126,0.29455094536067006,0.2943951612551851,0.29447002721515547,0.294347431978781,0.2933586350853501,0.2936374151572862,0.2938136881568462,0
Baseline,wc_map0,wc_map0,wc_map0,wc_map0,wc_map0,wc_map0,wc_map0,wc_map0,2.1947182087166484,2.17162528345139,2.209952174866974,2.171652447699877,2.139538657270041,2.166111463417107,2.1378685792324026,2.139028465249643,0
Baseline,523.xalancbmk,523.xalancbmk,523.xalancbmk,523.xalancbmk,523.xalancbmk,523.xalancbmk,523.xalancbmk,523.xalancbmk,2.2238593780772655,2.2236884729860096,2.2235007845844867,2.2235553671957096,2.223361966974537,2.223267058928049,2.223343775637933,2.223267058928049,0
Baseline,464.h264ref,464.h264ref,464.h264ref,464.h264ref,464.h264ref,464.h264ref,464.h264ref,464.h264ref,2.827424525012472,2.827356095208615,2.827467695050597,2.827500952867821,2.8274485082042378,2.8275546786868655,2.8275361302566724,2.827572907553635,0
Baseline,ycsb_abgsave,ycsb_abgsave,ycsb_abgsave,ycsb_abgsave,ycsb_abgsave,ycsb_abgsave,ycsb_abgsave,ycsb_abgsave,2.0329262493388924,2.032941954058927,2.032895005933207,2.0265929527256663,2.0266798622441375,2.032919967518818,2.0329574937049473,2.032989730962271,0
Baseline,505.mcf,505.mcf,505.mcf,505.mcf,505.mcf,505.mcf,505.mcf,505.mcf,0.8047562510809888,0.772227844898964,0.7565322703227794,0.7852645176091799,0.743633751453804,0.7565785412052042,0.7721777797874991,0.7494440848611725,0
Baseline,bfs_ny,bfs_ny,bfs_ny,bfs_ny,bfs_ny,bfs_ny,bfs_ny,bfs_ny,0.035833589760890565,0.03588830028950144,0.0359346317942645,0.03541174135379699,0.03426123084209102,0.030567997634046766,0.00919128991881487,0.002834256404143463,0
Baseline,444.namd,444.namd,444.namd,444.namd,444.namd,444.namd,444.namd,444.namd,3.6559579757867366,3.6559045124536924,3.6558617429130753,3.655813628376016,3.6559152049952086,3.6559258975992703,3.6558243203859146,3.6567440672618576,0
Baseline,tpch17,tpch17,tpch17,tpch17,tpch17,tpch17,tpch17,tpch17,0.651268864523676,0.6405983290889423,0.6402650061982774,0.6406062246323138,0.6506195941481816,0.6401965208699328,0.642282258029087,0.6410138726683889,0
Baseline,437.leslie3d,437.leslie3d,437.leslie3d,437.leslie3d,437.leslie3d,437.leslie3d,437.leslie3d,437.leslie3d,0.21305606909643535,0.2131940256484693,0.21313799662218902,0.21307667582930465,0.21313812927146394,0.2130539883067449,0.21314092039586477,0.21305691522323875,0
Baseline,tpch2,tpch2,tpch2,tpch2,tpch2,tpch2,tpch2,tpch2,0.6497093057629969,0.6611677433607056,0.6500557149752191,0.649868451028669,0.6510590791061001,0.6503005949470083,0.6500521315807443,0.6497089511805576,0
