config,workload,total_energy,nrh,baseline_energy,ramulator.hydra_baseline_energy,normalized_energy
Baseline,bfs_dblp,55961750.5764375,,55961750.5764375,55961750.5764375,1.0
Hydra-Baseline,bfs_dblp,55961750.5764375,,55961750.5764375,55961750.5764375,1.0
REGA,bfs_dblp,282411408.86474997,125,55961750.5764375,55961750.5764375,5.046507765674834
REGA,bfs_dblp,126911426.3548125,250,55961750.5764375,55961750.5764375,2.267824452372441
REGA,bfs_dblp,79185907.97062501,500,55961750.5764375,55961750.5764375,1.4150005522515938
REGA,bfs_dblp,63497643.2514375,1000,55961750.5764375,55961750.5764375,1.1346614892739428
Graphene,bfs_dblp,57620230.045499995,125,55961750.5764375,55961750.5764375,1.029635946909795
Graphene,bfs_dblp,56525030.672625,250,55961750.5764375,55961750.5764375,1.010065448103131
Graphene,bfs_dblp,55960660.685625,500,55961750.5764375,55961750.5764375,0.9999805243617065
Graphene,bfs_dblp,55961750.5764375,1000,55961750.5764375,55961750.5764375,1.0
Hydra,bfs_dblp,60256716.00206249,125,55961750.5764375,55961750.5764375,1.076748232165442
Hydra,bfs_dblp,59182298.218687505,250,55961750.5764375,55961750.5764375,1.0575490868151292
Hydra,bfs_dblp,58784667.713812515,500,55961750.5764375,55961750.5764375,1.0504436889178301
Hydra,bfs_dblp,58180208.52168749,1000,55961750.5764375,55961750.5764375,1.039642397215931
PARA,bfs_dblp,125157100.04643749,125,55961750.5764375,55961750.5764375,2.2364757849289734
PARA,bfs_dblp,81900573.9106875,250,55961750.5764375,55961750.5764375,1.4635098628449885
PARA,bfs_dblp,68033115.48168752,500,55961750.5764375,55961750.5764375,1.2157074212459076
PARA,bfs_dblp,62095744.51275,1000,55961750.5764375,55961750.5764375,1.1096104727448464
ABACuS,bfs_dblp,56993990.5756875,125,55961750.5764375,55961750.5764375,1.0184454558447036
ABACuS,bfs_dblp,56478721.68224999,250,55961750.5764375,55961750.5764375,1.009237936635066
ABACuS,bfs_dblp,56217133.682624996,500,55961750.5764375,55961750.5764375,1.004563529617228
ABACuS,bfs_dblp,55961750.5764375,1000,55961750.5764375,55961750.5764375,1.0
Baseline,470.lbm,15467322.146999996,,15467322.146999996,15467322.146999996,1.0
